25,0,73,1
25,86,89,1
42,72,19,1
62,48,27,1
72,83,91,1
40,18,83,1
2,73,32,1
53,1,64,1
53,34,64,1
72,70,79,1
24,29,1,1
52,25,14,1
47,29,93,1
3,21,61,1
57,0,48,1
58,28,40,1
54,43,94,1
91,97,39,1
45,16,20,1
62,16,28,1
60,0,22,1
46,77,25,1
81,4,37,1
0,73,18,1
26,98,94,1
80,65,46,1
62,18,37,1
91,72,49,1
4,21,58,1
73,14,36,1
17,20,6,1
45,67,6,1
19,42,66,1
4,66,11,1
19,3,84,1
13,39,5,1
60,76,87,1
60,59,49,1
61,84,94,1
96,84,41,1
7,13,76,1
33,46,36,1
50,45,34,1
10,34,84,1
54,23,57,1
13,39,44,1
57,50,27,1
41,81,18,1
33,34,23,1
77,16,40,1
23,56,20,1
4,97,76,1
64,43,21,1
23,65,33,1
25,77,4,1
4,53,14,1
3,60,49,1
41,38,52,1
2,82,16,1
3,99,74,1
60,25,14,1
75,24,3,1
59,72,4,1
68,55,81,1
20,6,37,1
73,34,24,1
1,45,31,1
71,43,64,1
15,21,83,1
91,12,79,1
69,66,48,1
93,87,35,1
72,26,95,1
31,77,62,1
29,82,85,1
59,78,88,1
31,98,45,1
74,70,58,1
2,67,14,1
45,95,85,1
22,93,82,1
40,31,37,1
9,41,69,1
81,3,88,1
23,54,58,1
2,24,90,1
37,82,99,1
82,61,40,1
50,70,18,1
4,79,75,1
5,62,29,1
44,69,86,1
4,2,25,1
38,41,83,1
85,21,53,1
81,38,26,1
88,94,9,1
56,87,73,1
5,66,86,1
65,47,52,1
22,26,43,1
34,33,56,1
23,92,93,1
45,78,48,1
53,95,54,1
59,98,34,1
22,92,42,1
77,70,12,1
19,74,13,1
63,98,10,1
6,11,84,1
53,88,0,1
22,17,57,1
30,46,12,1
94,51,45,1
20,11,67,1
24,61,53,1
38,49,60,1
48,63,2,1
0,23,45,1
14,33,81,1
67,78,38,1
28,95,78,1
50,93,19,1
4,33,39,1
25,79,97,1
2,54,4,1
64,61,57,1
83,11,18,1
91,42,38,1
89,10,13,1
39,51,1,1
74,33,53,1
87,48,30,1
34,84,67,1
39,43,61,1
12,86,87,1
73,89,35,1
30,59,56,1
46,3,35,1
36,54,55,1
41,8,67,1
32,29,3,1
90,34,36,1
84,47,42,1
48,32,50,1
